STT,Chi tiêu,Số tiền,*1000,Ngày,Số dư lý thuyết,,Tài khoản,Số dư thực tế,Tổng Thu,Ngày,Nguồn tiền
1,đi chợ,"4981,612",4.981.612,Thứ Hai- 05/1/26,167.949.091,,acb,40.196.502,191.616.700,Chủ Nhật- 04/1/26,cũ 2025
2,ăn sáng,120,120.000,Thứ Ba- 06/1/26,,,hd,82.997.404,23.805.000,Thứ Ba- 13/1/26,1 phần nhà trọ t1
3,đi chợ,468,468.000,Thứ Tư- 07/1/26,,,tech,52.437.077,1.203.461.478,Thứ Tư- 07/1/26,lãi tech
4,đi chợ,702,702.000,Thứ Năm- 08/1/26,,,mèo tm,1.000.000,150.472,Thứ Hai- 05/1/26,lãi tech
5,đi chợ,360,360.000,Thứ Sáu- 09/1/26,,,tổng tiền mèo,176.630.983,500.000,Thứ Bảy- 10/1/26,phượng đưa
6,đi chợ,185,185.000,Thứ Bảy- 10/1/26,,,bóe tm ,4.461.000,15.774,Thứ Hai- 05/1/26,lãi tech 
7,đi chợ,379,379.000,Chủ Nhật- 11/1/26,,,bóe tk tech,10.206.957,20.760,Thứ Năm- 01/1/26,lãi HD
8,ăn sáng,"374,824",374.824,Thứ Hai- 12/1/26,,,sacom,140.755,30.000,Thứ Ba- 06/1/26,bán ve chai
9,đi chợ,145,145.000,Thứ Ba- 13/1/26,,,scb + agri,162.090,200.000,Thứ Ba- 20/1/26,lãi tech 
10,tiền nước mẹ,"137,563",137.563,Thứ Ba- 13/1/26,,,ví đt,14.915,653.251.022,Thứ Ba- 20/1/26,lãi tech
11,tiền quà tết nhà trọ,3000,3.000.000,Thứ Ba- 13/1/26,,,tổng tiền bóe,14.985.717,600.000,Thứ Tư- 21/1/26,ba đưa
12,đi chợ,1574,1.574.000,Thứ Tư- 14/1/26,,,,191.616.700,166.000,Thứ Ba- 20/1/26,bv đưa lại
13,đi chợ,213,213.000,Thứ Năm- 15/1/26,,,,,6.984.000,Thứ Tư- 14/1/26,còn lại nhà trọ t1
14,đi chợ,222,222.000,Thứ Sáu- 16/1/26,,,acb,39.196.666,,,
15,đi chợ,"415,195",415.195,Thứ Bảy- 17/1/26,,,hd,0,,,
16,đi chợ,"568,442",568.442,Chủ Nhật- 18/1/26,,,tech,1.333.955.407,,,
17,đi chợ,100,100.000,Thứ Hai- 19/1/26,,,mèo tm,1.000.000,,,
18,đi chợ + tóc + tiền nước,"2571,771",2.571.771,Thứ Ba- 20/1/26,,,tổng tiền mèo,1.374.152.073,,,
19,đi chợ,"2344,913",2.344.913,Thứ Tư- 21/1/26,,,bóe tm ,8.814.000,,,
20,đi chợ,260,260.000,Thứ Năm- 22/1/26,,,bóe tk tech,25.444.920,,,
21,đi chợ,120,120.000,Thứ Sáu- 23/1/26,,,sacom,140.755,,,
22,mua ccq,"1893534,795",1.893.534.795,Thứ Ba- 20/1/26,,,scb + agri,162.090,,,
23,"Ăn sáng, đi chợ",25,25000,Thứ Bảy-24/01/26,,,ví đt,14.915,,,
24,"Ăn sáng, đi chợ",25,25000,Thứ Bảy-24/01/26,,,tổng tiền bóe,34.576.680,,,
25,"Ăn sáng, đi chợ",25,25000,Thứ Bảy-24/01/26,,,11,1.408.728.753,,,
,,,,,,,thiếu,18.432,,,
,,,,,,,,,,,
,,,,,,,acb,44.656.558,,,
,,,,,,,hd,0,,,
,,,,,,,tech,91.406.234,,,
,,,,,,,mèo tm,1.000.000,,,
,,,,,,,tổng tiền mèo,137.062.792,,,
,,,,,,,bóe tm ,8.215.000,,,
,,,,,,,bóe tk tech,22.348.107,,,
,,,,,,,sacom,140.755,,,
,,,,,,,scb + agri,162.090,,,
,,,,,,,ví đt,14.915,,,
,,,,,,,tổng tiền bóe,30.880.867,,,
,,,,,,,22,167.943.659,,,
,,,,,,,thiếu,80.432,,,