IDChi,mo_ta_chi,Nguồn tiền,Nghìn VND,Số tiền vnđ,Ngày,Số dư lý thuyết
c1,Đi chợ,ACB Mèo,"4981,612",4981612,05/01/2026,186801334
c2,Ăn sáng,HD Mèo,120,120000,06/01/2026,186711334
c3,Đi chợ,Tech Mèo,468,468000,07/01/2026,1389704812
c4,Đi chợ,Tiền mặt Mèo,702,702000,08/01/2026,1389002812
c5,Đi chợ,Tech Boé,360,360000,09/01/2026,1388642812
c6,Đi chợ,Tiền mặt Boé,185,185000,10/01/2026,1388978572
c7,Đi chợ,Sacom Boé,379,379000,11/01/2026,1388599572
c8,Ăn sáng,Ví Momo Mèo,"374,824",374824,12/01/2026,1388224748
c9,Đi chợ,Ví Vnpay Boé,145,145000,13/01/2026,1408747185
c10,Nước mẹ,Ví Vnpay Mèo,"137,563",137563,13/01/2026,1408747185
c11,Khác,Ví Vnpay Boé,3000,3000000,13/01/2026,1408747185
c12,Đi chợ,ACB Mèo,1574,1574000,14/01/2026,1414157185
c13,Đi chợ,HD Mèo,213,213000,15/01/2026,1413944185
c14,Đi chợ,Tech Mèo,222,222000,16/01/2026,1413722185
c15,Đi chợ,Tiền mặt Mèo,"415,195",415195,17/01/2026,1413306990
c16,Đi chợ,Tech Boé,"568,442",568442,18/01/2026,1412738548
c17,Đi chợ,Tiền mặt Boé,100,100000,19/01/2026,1412638548
c18,Đi chợ,Sacom Boé,"2571,771",2571771,20/01/2026,170149004
c19,Mua CCQ,Ví Momo Mèo,"1893534,795",1893534795,20/01/2026,170149004
c20,Đi chợ,Ví Vnpay Boé,"2344,913",2344913,21/01/2026,168404091
c21,Đi chợ,Ví Vnpay Mèo,260,260000,22/01/2026,168144091
c22,Đi chợ,Ví Vnpay Boé,120,120000,23/01/2026,168024091